accumulated_rewards,total_staked,block_number,timestamp,deltaGeneratedRewards,deltaRewardsForLsDistribution,rewardsForLsDistribution
735200983101,35091244822052,3010735,1716359988002,2858424,2.521567354886625710897610872729095842857390855427944676156666206376230948403504e+06,6.504332168289576887518791547053010225304301291680235999478333463360052617824561e+11
735212152085,35091255991036,3010736,1716360000001,11168984,9.852752694834759538645773052023033752760690315668746443525218103046087735013295e+06,6.504430695816525235114178004783530455641828898583392686942768715541083078701905e+11
735239339160,35091283178111,3010737,1716360024000,27187075,2.398315340351837280506613082827849754778479436638981792787121463835428313019665e+07,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010738,1716360036002,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010739,1716360048001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010740,1716360060001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010741,1716360072003,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010742,1716360084000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010743,1716360096001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010744,1716360108000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010745,1716360120000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010746,1716360132001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010747,1716360144000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010748,1716360156000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010749,1716360168001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010750,1716360180000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010751,1716360192002,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010752,1716360204003,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010753,1716360216000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010754,1716360228007,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010755,1716360240000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010756,1716360252000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010757,1716360264001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010758,1716360276002,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010759,1716360288003,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010760,1716360300000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010761,1716360312001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010762,1716360324000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010763,1716360336000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010764,1716360348000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010765,1716360360000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010766,1716360372000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010767,1716360384000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010768,1716360396000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010769,1716360408001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010770,1716360420001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010771,1716360432000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010772,1716360444010,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010773,1716360456000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010774,1716360468001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010775,1716360480001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010776,1716360492000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010777,1716360504001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010778,1716360516001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010779,1716360528000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010780,1716360540000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010781,1716360552000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010782,1716360564000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010783,1716360576001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010784,1716360588000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010785,1716360600002,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010786,1716360612000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010787,1716360624000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010788,1716360636002,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010789,1716360648000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010790,1716360660000,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010791,1716360672001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010792,1716360684002,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010793,1716360696001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010794,1716360708003,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010795,1716360720002,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010796,1716360732001,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735239339160,35091283178111,3010797,1716360744002,0,0.0,6.504670527350560418842228666091813240617306746527056585122047427687466621533211e+11
735249812490,35091293651441,3010798,1716360756001,10473330,9.239102790469290670131644073891021378591266988947963097601456883839411427689228e+06,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010799,1716360768000,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010800,1716360780001,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010801,1716360792003,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010802,1716360804001,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
735249812490,35091293651441,3010803,1716360816000,0,0.0,6.504762918378465111748929982532552150831092659196946064753023442256305015647463e+11
